LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,1.611,-0.26332,-18.0,-0.0748616769038,0.277906866905,0.961058248859,0.97065699368,69.8661522472,239,
6.0,1.611,0.02788,-24.0,0.0962457232167,0.272299027677,0.966723539662,0.971688667284,71.2797882323,240,
12.0,1.611,-0.03328,-18.0,-0.035996485875,0.283132947428,0.949975146109,0.971137848275,68.3355262275,240,
18.0,1.611,-0.03461,-18.0,0.0262396942083,0.249347143533,0.965792115157,0.976813170546,72.0419611764,240,
24.0,1.611,-0.04492,-18.0,0.006708311,0.243222941626,0.96765197552,0.977931640504,72.586800874,240,
30.0,1.611,-0.03079,-24.0,0.0258064674583,0.252044945274,0.964855563325,0.976280292222,71.7310308426,240,
36.0,1.611,-0.04242,-18.0,0.0100941738333,0.241573253303,0.968464905043,0.978204221928,72.7861610556,240,
42.0,1.611,-0.05306,-24.0,0.0107235733833,0.248090308196,0.966844216659,0.976853333631,72.0537111695,240,
48.0,1.611,-0.07082,-24.0,-0.00402600475,0.251545118226,0.966171119028,0.976066792105,71.6416672983,240,
54.0,1.611,-0.06429,-24.0,0.00118495566667,0.24069190146,0.969493389477,0.978233249169,72.8620744261,240,
60.0,1.611,-0.07984,-24.0,-0.00903108266667,0.246329094245,0.967447874845,0.977194037527,72.2448187898,240,
66.0,1.611,-0.04898,-18.0,0.0188129710833,0.247543072034,0.966667060046,0.977063244124,72.1699894854,240,
72.0,1.611,-0.05235,-18.0,0.0280396445,0.252884527884,0.964056050249,0.976241946808,71.662828935,240,
78.0,1.611,-0.00974,-18.0,0.0697231231667,0.271226441651,0.958922656724,0.972958100417,70.4466577058,240,
84.0,1.611,-0.02403,-18.0,0.05782894625,0.264327964323,0.960369086147,0.974353670596,70.9187443899,240,
90.0,1.611,0.03039,-18.0,0.109181745042,0.294319724298,0.953875300629,0.968458531464,69.182972056,240,
96.0,1.611,0.06611,-18.0,0.130990534583,0.305031364909,0.95334563633,0.966041257081,68.9400925811,240,
102.0,1.611,0.00453,-18.0,0.08866957025,0.275878779392,0.959434835971,0.972003728551,70.5448251674,240,
108.0,1.611,-0.04828,-18.0,0.0511442297917,0.259414875651,0.962259232137,0.975163936029,71.324790617,240,
114.0,1.611,0.05466,-18.0,0.103516036749,0.269094869609,0.964083564633,0.973477169173,71.9940298166,240,
120.0,1.611,-0.01428,-18.0,0.05150475225,0.2560232435,0.964620450478,0.975588299676,71.7232787024,240,
126.0,1.611,0.01516,-18.0,0.0758830232083,0.264744606663,0.96226427048,0.974232928252,71.4022291471,240,
132.0,1.611,0.04699,-24.0,0.101101088342,0.272916460675,0.963228536691,0.972424759835,71.4176830339,240,
138.0,1.611,0.03261,-24.0,0.0793509933333,0.261321227772,0.965374116055,0.974590758282,71.9269906298,240,
144.0,1.611,-0.00905,-18.0,0.0494729205833,0.257182460341,0.964520627692,0.975255602434,71.5439936636,240,
150.0,1.611,0.00554,-24.0,0.0778943004583,0.280613799685,0.956803076178,0.970793303966,69.6039128547,240,
