LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,0.528,-0.064539,138.0,0.00397364137657,0.0437122911874,0.972042327408,0.983972619673,75.9571136861,239,
6.0,0.528,-0.053881,150.0,0.0217416590417,0.0612374930763,0.961374667633,0.964321820649,68.3558946243,240,
12.0,0.528,-0.074551,54.0,0.0237066965917,0.0535677686109,0.975104416638,0.973607389166,73.4476244193,240,
18.0,0.528,-0.041547,72.0,0.03401190125,0.0587708583867,0.974503320828,0.968557670794,73.5069171421,240,
24.0,0.528,-0.027633,48.0,0.0409640833333,0.0625505699855,0.968652058537,0.966426900323,73.8708923099,240,
30.0,0.528,-0.044225,156.0,0.0282715300029,0.059146684145,0.959157414745,0.970309901381,71.2830565297,240,
36.0,0.528,-0.093814,0.0,0.00755536415,0.0504982925577,0.965562310028,0.977434331235,72.4010029733,240,
42.0,0.528,-0.028878,30.0,0.0291731608333,0.0527842871128,0.985927842859,0.97402868528,75.6843856811,240,
48.0,0.528,0.030664,90.0,0.05871685125,0.0747427562827,0.966815649941,0.955964081406,74.4365841401,240,
54.0,0.528,-0.031936,54.0,0.0608357808333,0.0749506162769,0.975239872056,0.952245816353,75.8009273605,240,
60.0,0.528,-0.009458,36.0,0.07101046,0.0785779140602,0.985350814706,0.950177260217,81.4024173093,240,
66.0,0.528,0.024831,138.0,0.0626621945833,0.0800934759736,0.961262485936,0.949317459298,72.4263650262,240,
72.0,0.528,0.035141,198.0,0.065954640425,0.0861945440583,0.953177989376,0.944116814294,69.3259080132,240,
78.0,0.528,0.08175,204.0,0.102257275417,0.120281746255,0.939933437493,0.896975282704,64.9920217899,240,
84.0,0.528,0.053644,108.0,0.102411637917,0.112857509872,0.965266139032,0.907779386205,73.7882555157,240,
90.0,0.528,-0.003266,12.0,0.0805733191667,0.0904131018627,0.981953664045,0.931196719955,77.3271431645,240,
96.0,0.528,-0.009975,48.0,0.0688903316667,0.0793231121715,0.978793990345,0.948683787274,78.2641556516,240,
102.0,0.528,0.02985,66.0,0.0911820066667,0.10026297532,0.97331331989,0.923797948763,76.9526624263,240,
108.0,0.528,-0.027791,102.0,0.0456848670833,0.0644222004199,0.968492727056,0.96626194105,74.8930376954,240,
114.0,0.528,0.023385,18.0,0.093984895,0.103928046891,0.969482240974,0.92006708561,75.4793592218,240,
120.0,0.528,0.042845,60.0,0.1023631925,0.111334953739,0.970287262993,0.908823649565,75.7968489011,240,
126.0,0.528,0.0468,36.0,0.0894864695833,0.10203628313,0.963969044171,0.925092399102,72.9004858162,240,
132.0,0.528,-0.015878,18.0,0.0629360029167,0.0747053855778,0.975554838221,0.955686298738,77.7523550402,240,
138.0,0.528,-0.040915,42.0,0.05764177,0.069674817751,0.986978937905,0.957373865274,78.3646962805,240,
144.0,0.528,-0.03607,12.0,0.03582843125,0.0546718065998,0.974332006653,0.975593581843,77.1736279905,240,
150.0,0.528,-0.171975,24.0,-0.0701963688333,0.0827276492695,0.975658493122,0.942609891807,75.8026249538,240,
