LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,0.897,-0.049053,36.0,-0.0241055481172,0.0344605465607,0.979105259157,0.978903025926,79.6066457184,239,
6.0,0.897,-0.04833,42.0,-0.01295755,0.0430197350486,0.941080669222,0.966687481267,65.9872678554,240,
12.0,0.897,-0.045975,42.0,-0.0280647958333,0.0408576800538,0.969410854436,0.970989867157,75.3798892985,240,
18.0,0.897,-0.053359,30.0,-0.0424956416667,0.0506344793225,0.974822458125,0.957814687349,77.1728544456,240,
24.0,0.897,-0.046219,30.0,-0.0346297375,0.0440645919541,0.975588412934,0.967872288184,77.4074811326,240,
30.0,0.897,-0.041793,36.0,-0.0346209166667,0.0445354886635,0.974829357304,0.967517842434,76.7723459615,240,
36.0,0.897,-0.047315,36.0,-0.0345199583333,0.0441495128778,0.974760830974,0.967525542103,77.1791642174,240,
42.0,0.897,-0.035541,60.0,-0.0320445125,0.0435601388697,0.972124812989,0.968857953966,75.5351041132,240,
48.0,0.897,-0.036975,42.0,-0.0298190458333,0.0410662343356,0.97484506489,0.972397098984,76.5887097849,240,
54.0,0.897,-0.07381,36.0,-0.0501598291667,0.0585694598075,0.968496747433,0.942737728419,74.9281104229,240,
60.0,0.897,-0.07213,42.0,-0.0534237083333,0.0625261370802,0.963272078619,0.934240499755,73.063630394,240,
66.0,0.897,-0.067941,36.0,-0.0418327625,0.0530275059291,0.963042730455,0.95170336471,72.9806698214,240,
72.0,0.897,-0.07652,42.0,-0.0520219125,0.0621965120855,0.959755591638,0.935060124747,71.7347990209,240,
78.0,0.897,-0.064655,42.0,-0.0430793125,0.054184707144,0.963108144916,0.950668673179,72.7498788991,240,
84.0,0.897,-0.052687,42.0,-0.0338931291667,0.0468304781851,0.964051630924,0.962425271066,73.205339452,240,
90.0,0.897,-0.054287,42.0,-0.0242750375,0.0414915036619,0.960398781682,0.969434872175,72.1002803604,240,
96.0,0.897,-0.047228,30.0,-0.0220171416667,0.0375281515238,0.968521702244,0.975834372421,74.8018250149,240,
102.0,0.897,-0.052437,36.0,-0.0267903375,0.0416688458823,0.964976191763,0.970059450907,73.5381084172,240,
108.0,0.897,0.017123,30.0,0.0297520333333,0.0416912942001,0.972358655482,0.971356561777,75.7844192322,240,
114.0,0.897,-0.01951,30.0,0.00308224166667,0.0310303283834,0.967773142313,0.983456303633,74.3989019517,240,
120.0,0.897,-0.013305,24.0,0.0229244666667,0.0378233820106,0.96839962648,0.974479995131,75.0558844843,240,
126.0,0.897,-0.085125,18.0,-0.0706635958333,0.0769990230466,0.968758572646,0.907373437835,74.6400397917,240,
132.0,0.897,-0.043439,24.0,-0.0368602416667,0.0492559271845,0.9668422653,0.960879441539,72.9103772765,240,
138.0,0.897,0.031665,12.0,0.0909543083333,0.0991339399669,0.94583937809,0.841927249851,67.3058659611,240,
144.0,0.897,-0.00909,36.0,0.0463448041667,0.0590103099918,0.95366804559,0.937129079793,69.7124313099,240,
150.0,0.897,0.032074,12.0,0.0661810625,0.0725810191178,0.968999987009,0.914052987527,75.2913367924,240,
