LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,0.574,0.122086075238,-66.0,0.13566755191,0.157273688896,0.929607160451,0.874474192872,63.0417698045,239,
6.0,0.574,-0.0491636641667,-48.0,-0.0157598920844,0.0659973855114,0.954960569822,0.974330313818,70.2342384371,240,
12.0,0.574,0.0661239856403,-54.0,0.0951312136687,0.114317808575,0.955944113924,0.928055099059,70.5572800363,240,
18.0,0.574,0.0940003018769,-42.0,0.125726726445,0.140384415692,0.957325218506,0.896461945292,70.9929147667,240,
24.0,0.574,0.100022857428,-48.0,0.133685067045,0.147037273556,0.958969714158,0.88846966671,71.5648963907,240,
30.0,0.574,0.114879475337,-48.0,0.149040140521,0.161120886969,0.95897766905,0.870035006169,71.569774487,240,
36.0,0.574,0.0488654148453,-42.0,0.0851056472833,0.105315002191,0.957838397799,0.938326796464,71.1880234256,240,
42.0,0.574,0.0777766357298,-36.0,0.116997607235,0.132527178986,0.957636804132,0.906267608725,71.0881160204,240,
48.0,0.574,0.0837660496464,-36.0,0.125498632133,0.140074659446,0.95768154805,0.89681727131,71.1030776179,240,
54.0,0.574,0.105284837227,-30.0,0.144462737974,0.157205829458,0.957990082026,0.874555033963,71.2033321279,240,
60.0,0.574,0.0412249088265,-30.0,0.08258763292,0.103547802751,0.957376765165,0.939842906768,70.9897323785,240,
66.0,0.574,0.0718171870863,-42.0,0.115310373174,0.131431429941,0.956744022621,0.906704792765,70.7073995949,240,
72.0,0.574,0.0859695391702,-42.0,0.131713687159,0.146063859709,0.956753944212,0.887728602551,70.676423597,240,
78.0,0.574,0.109564230493,-42.0,0.156105373125,0.168362281272,0.957225912723,0.856965575948,70.7102289513,240,
84.0,0.574,0.0461970030866,-36.0,0.0930337748786,0.112155470459,0.957973375916,0.928896167736,70.9075495315,240,
90.0,0.574,0.0630385982443,-42.0,0.113706904963,0.130131326479,0.957204250329,0.906864883379,70.6075527455,240,
96.0,0.574,0.0820527872845,-48.0,0.129773613422,0.144156057084,0.957750174677,0.889243735745,70.8475079996,240,
102.0,0.574,0.102208877321,-48.0,0.153713707364,0.165864835441,0.958681797804,0.859744248659,71.0574420275,240,
108.0,0.574,0.0462888132811,-48.0,0.0936684766533,0.111893479203,0.959452161002,0.930271024623,71.5720871082,240,
114.0,0.574,0.0541296918473,-48.0,0.0970932118258,0.114855787665,0.959193029483,0.926909141968,71.5023883041,240,
120.0,0.574,0.074027206209,-42.0,0.116892364366,0.131685573448,0.960017312258,0.907250344832,71.835483852,240,
126.0,0.574,0.0903154511626,-42.0,0.13203955134,0.145203055688,0.960229407434,0.890551944827,71.94207473,240,
