LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,0.686,-0.338953282235,798.0,-0.28225226526,0.285161132695,0.989441335157,0.78623239844,85.139009064,239,
6.0,0.686,-0.288764698336,798.0,-0.274220819657,0.279143969355,0.981577069604,0.795742162427,80.8927447574,240,
12.0,0.686,-0.29422240051,786.0,-0.272365835378,0.277109261954,0.982380631367,0.798006620075,81.3107823266,240,
18.0,0.686,-0.262981670508,756.0,-0.269823503593,0.275259550061,0.980103840159,0.802136580651,80.0729071634,240,
24.0,0.686,-0.346894883742,6.0,-0.281576941625,0.283770009122,0.992537794411,0.78712204436,87.1099515449,240,
30.0,0.686,-0.347047273222,0.0,-0.287220471762,0.288939639378,0.995083374315,0.779393259145,88.4786935483,240,
36.0,0.686,-0.354874653347,0.0,-0.288140443723,0.290204921594,0.992907253584,0.779793265258,87.3506045572,240,
42.0,0.686,-0.366963727322,6.0,-0.293233597933,0.295496298638,0.992839476942,0.771254182605,86.638887368,240,
48.0,0.686,-0.358740329857,0.0,-0.28667989202,0.289237740499,0.991126944037,0.78003202863,85.9496022587,240,
54.0,0.686,-0.363798028968,0.0,-0.287305175236,0.29001106602,0.990763608191,0.778197358136,85.531182353,240,
60.0,0.686,-0.35685618959,0.0,-0.280571826573,0.283299020437,0.991099313385,0.785146868996,85.6444825961,240,
66.0,0.686,-0.342778738803,0.0,-0.272800415,0.275058667702,0.993795600683,0.793191253289,87.1236810416,240,
72.0,0.686,-0.343532343956,-6.0,-0.265085124785,0.268040122185,0.990605826251,0.80266780524,85.4700473137,240,
78.0,0.686,-0.340733719517,-6.0,-0.26818652336,0.270682373611,0.992174485848,0.800182952558,86.5747666042,240,
84.0,0.686,-0.333009522583,-6.0,-0.25707606604,0.260063797166,0.991574200475,0.809725652105,85.6104972156,240,
90.0,0.686,-0.275885680518,738.0,-0.249850572015,0.256419526052,0.977464240833,0.819509376234,78.8889286311,240,
96.0,0.686,-0.262854692096,732.0,-0.254336725495,0.261346806564,0.975695125396,0.816211133332,77.9897905499,240,
102.0,0.686,-0.312555891062,744.0,-0.253984481187,0.257656808466,0.988030963196,0.815476964411,84.1319154614,240,
108.0,0.686,-0.360129105176,0.0,-0.286517313674,0.289288465907,0.991270008725,0.77727090793,85.3769075494,240,
114.0,0.686,-0.343923138931,-6.0,-0.27018522541,0.272864854955,0.991536453402,0.797370243341,86.0354050381,240,
120.0,0.686,-0.336058509434,744.0,-0.264052892148,0.267472346124,0.989271238235,0.802191679122,84.3932903583,240,
126.0,0.686,-0.345237522469,744.0,-0.278050327642,0.281796498731,0.987368244881,0.786011685691,83.2351590348,240,
132.0,0.686,-0.267974023956,750.0,-0.211236416122,0.216765266731,0.984412139939,0.860546372869,82.1921622655,240,
138.0,0.686,-0.327699282754,756.0,-0.268267198384,0.272536452165,0.985850598875,0.796134354732,82.4099604134,240,
144.0,0.686,-0.361732959313,6.0,-0.290949423216,0.294405932704,0.988074756895,0.771806639134,83.5335606621,240,
150.0,0.686,-0.438733658785,744.0,-0.353098329977,0.356280521653,0.988521662704,0.703440907911,82.6070475403,240,
