LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,0.52,-0.0782446451594,-6.0,-0.110047520504,0.115053082048,0.991541923575,0.960960731555,90.3667002068,239,
6.0,0.52,-0.0798983319637,-6.0,-0.108611531847,0.113445670587,0.991814345787,0.961842247313,90.6531046367,238,
12.0,0.52,-0.0833778774868,-6.0,-0.110482159399,0.115432264835,0.991643833987,0.960589915633,90.3904723299,238,
18.0,0.52,-0.0831324204206,-6.0,-0.110899847017,0.115701813811,0.991837321299,0.960384988118,90.5870862261,238,
24.0,0.52,-0.0853324075895,0.0,-0.11096462545,0.115755517111,0.991817905035,0.96031613031,90.5993413721,238,
30.0,0.52,-0.089891010431,0.0,-0.112022997527,0.116759509752,0.991885770469,0.959688402638,90.6451380505,238,
36.0,0.52,-0.0902754860019,-6.0,-0.111533748096,0.116231753878,0.991924923868,0.959985578439,90.7163716444,238,
42.0,0.52,-0.0882618146847,-6.0,-0.111286958528,0.115953226767,0.9920608169,0.960266289823,90.7891153668,238,
48.0,0.52,-0.087433746799,-6.0,-0.111601628274,0.116339233058,0.991891067359,0.959970864955,90.6706004109,238,
54.0,0.52,-0.0872511378536,0.0,-0.11206700221,0.116708714796,0.992011394823,0.959692873888,90.7877344786,238,
60.0,0.52,-0.0877586228981,0.0,-0.111944399148,0.116633669709,0.991861075348,0.959654849483,90.7165861146,238,
66.0,0.52,-0.0849699587339,0.0,-0.111856561218,0.11654862103,0.991917013419,0.959781566268,90.7224606913,238,
72.0,0.52,-0.0881313024724,0.0,-0.111664583959,0.116426259447,0.991742162248,0.959826330394,90.6399214591,238,
78.0,0.52,-0.0911500001128,0.0,-0.111307580003,0.115952010382,0.99210294729,0.96022357659,90.7990218437,238,
84.0,0.52,-0.091754047322,-6.0,-0.111361709921,0.115960932279,0.992057640426,0.960148542452,90.8841342905,238,
90.0,0.52,-0.0927638121511,0.0,-0.111077381995,0.115902126457,0.991825340439,0.960255424985,90.5411811139,238,
96.0,0.52,-0.0909194520206,6.0,-0.110601665888,0.115391009258,0.991818886669,0.960518081983,90.6144861384,238,
102.0,0.52,-0.0922999470801,6.0,-0.110425082815,0.115042988965,0.992093254444,0.960744896417,90.8785850864,238,
108.0,0.52,-0.0898447400397,0.0,-0.108722496696,0.113333161177,0.992183958469,0.961842925321,90.9435973889,238,
114.0,0.52,-0.0916831321673,0.0,-0.109997972779,0.114582529029,0.992274364146,0.961120627974,90.933847772,238,
120.0,0.52,-0.088570124183,0.0,-0.108594599352,0.113370169206,0.992055380865,0.961899254752,90.6911485459,238,
126.0,0.52,-0.0885009193574,0.0,-0.108292952286,0.113035590029,0.992103844287,0.962081181223,90.7420103228,238,
