LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,0.693,0.169587959224,6.0,0.0349354355156,0.102531538239,0.913769194459,0.948322663497,56.6851065834,240,
6.0,0.693,0.171885599857,12.0,0.0346335325613,0.1021365813,0.913920568537,0.948565894692,56.8247825423,240,
18.0,0.693,0.0531138271685,-24.0,-0.0852136899677,0.115185729145,0.945609323974,0.939704499596,65.2398604327,239,
24.0,0.693,0.0506525610717,-6.0,-0.075971125931,0.104175011102,0.950688981003,0.948188842749,68.0300407755,239,
30.0,0.693,0.038343580807,-12.0,-0.0796257824478,0.109419228614,0.944431000173,0.942701898478,66.3396895548,239,
42.0,0.693,-0.116797954075,-12.0,-0.231504301178,0.243228409733,0.943160731736,0.788029559589,66.5389449289,239,
48.0,0.693,-0.123652951871,12.0,-0.231879866594,0.248361290617,0.91694671578,0.770793601603,60.0973084223,239,
54.0,0.693,-0.128237882633,6.0,-0.231403519748,0.24713866526,0.921177694623,0.773143877088,61.0801970842,239,
