LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,0.496,0.061324,90.0,0.0341565297071,0.0697278904521,0.967718696462,0.97857785501,74.4415724576,239,
6.0,0.496,-0.017734,-18.0,-0.0171421077404,0.0413161086777,0.988568658609,0.991923141428,84.1658921882,240,
12.0,0.496,0.020232,-18.0,-0.00467280675,0.0345919412152,0.989553077054,0.994651041916,85.5631491457,240,
18.0,0.496,0.026544,-18.0,-0.00216126375,0.0384227462602,0.987143986988,0.993481973577,83.841657624,240,
24.0,0.496,0.019196,-12.0,-0.0109275350708,0.0395207556896,0.987331008972,0.99308692516,84.0025295798,240,
30.0,0.496,0.019716,-12.0,-0.0106931145354,0.0393457712807,0.987366763755,0.993133568133,84.0510236526,240,
36.0,0.496,0.021208,-30.0,-0.0099519328875,0.0397859967338,0.987075540369,0.993025403583,83.7745552804,240,
42.0,0.496,0.018093,0.0,-0.0101763786667,0.0390144100944,0.987701519456,0.993309262964,84.1356877764,240,
48.0,0.496,0.006978,-42.0,-0.0192101282917,0.0423530176003,0.98761764422,0.992116932493,84.1011489295,240,
54.0,0.496,0.005633,-6.0,-0.0205131036458,0.043472714988,0.98709629954,0.991646627205,83.8556456461,240,
60.0,0.496,0.005867,-48.0,-0.0201806638667,0.0432280110052,0.987079693565,0.991701025153,83.8979429795,240,
66.0,0.496,0.009525,-42.0,-0.0198020607413,0.0429221724635,0.987295177198,0.991868345965,83.9598215871,240,
72.0,0.496,0.011258,-30.0,-0.0191045377042,0.0426307004655,0.987245200645,0.99196595379,83.9476484394,240,
78.0,0.496,0.004977,-36.0,-0.0296763162583,0.0492191997012,0.986584543555,0.989370254508,83.4607035618,240,
84.0,0.496,0.00755,-30.0,-0.0298458290379,0.0488188323563,0.987088661094,0.989573154246,83.7274943831,240,
90.0,0.496,0.018915,-12.0,-0.0162108301917,0.0416869471179,0.987167942096,0.992354257558,83.8231442651,240,
96.0,0.496,0.011873,-12.0,-0.0179347277,0.0420181830358,0.987543901069,0.992264850987,83.9948007561,240,
102.0,0.496,0.011915,-30.0,-0.0277790203679,0.0474783749817,0.987199337906,0.990141235675,83.7820058017,240,
108.0,0.496,0.011272,-42.0,-0.0314445184667,0.0504476757437,0.986597779743,0.988894148644,83.3838392441,240,
114.0,0.496,0.028496,-36.0,-0.0197753641417,0.0446636028586,0.986051635866,0.991227074833,83.1318320409,240,
120.0,0.496,0.01328,-12.0,-0.0211697314583,0.0454068962313,0.985973374826,0.990938881149,83.080078096,240,
126.0,0.496,0.014376,-42.0,-0.0214295156875,0.0448965036374,0.986478519005,0.991145003305,83.3824424423,240,
132.0,0.496,0.010489,-42.0,-0.0200152430708,0.0440712724173,0.986332264173,0.991350554033,83.4616624458,240,
138.0,0.496,0.031078,-36.0,-0.0084354127375,0.0412530898498,0.985619764054,0.992439836066,82.9910140121,240,
144.0,0.496,0.030834,-30.0,-0.00355511739167,0.039497031636,0.986465644856,0.993106468544,83.4310659513,240,
150.0,0.496,0.033533,-30.0,-0.00798571909125,0.0418612833597,0.985410491766,0.992305980838,82.6915035808,240,
