LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,0.93,0.21988,36.0,-0.115727244895,0.339966568402,0.922187313261,0.849700415271,0.0,239,
6.0,0.93,0.19733,36.0,-0.162097529333,0.336874750917,0.956078529053,0.854202822615,2.69540119073,240,
12.0,0.93,0.20647,36.0,-0.153759462708,0.353855390605,0.942944204399,0.8437801777,0.0,240,
18.0,0.93,0.20024,36.0,-0.191098692429,0.366884196483,0.965471821793,0.838550117754,0.0,240,
24.0,0.93,0.19538,30.0,-0.189659171729,0.362611221681,0.966866615618,0.841118570018,0.0,240,
30.0,0.93,0.20313,36.0,-0.182429269542,0.357341900817,0.964887508487,0.844069030145,0.0,240,
36.0,0.93,0.2152,36.0,-0.175218759167,0.353837143916,0.966268433322,0.847014735567,0.0,240,
42.0,0.93,0.18888,30.0,-0.193486928708,0.359966171073,0.9657072185,0.841456461829,0.0,240,
48.0,0.93,0.16002,30.0,-0.220873858092,0.378473494623,0.961925558931,0.827507875944,0.0,240,
54.0,0.93,0.19531,30.0,-0.187930001583,0.364293609608,0.964465568875,0.83991377758,0.0,240,
60.0,0.93,0.24216,42.0,-0.182857856083,0.378783773623,0.965096368833,0.834009532416,0.0,240,
66.0,0.93,0.18186,36.0,-0.222571503083,0.392604787819,0.963167098669,0.821271781574,0.0,240,
72.0,0.93,0.19245,42.0,-0.2165665529,0.397154623073,0.96204102712,0.819906886568,0.0,240,
78.0,0.93,0.24379,42.0,-0.190259323458,0.391503228115,0.963838846721,0.826789343725,0.0,240,
84.0,0.93,0.26465,30.0,-0.173127012625,0.379303454717,0.968350088321,0.835803822652,0.0,240,
90.0,0.93,0.24245,30.0,-0.192141369333,0.393043688192,0.965462286882,0.826285372652,0.0,240,
96.0,0.93,0.32179,42.0,-0.128875463208,0.359958137949,0.974501884458,0.850885409817,0.0,240,
102.0,0.93,0.32942,36.0,-0.115953794321,0.364798301706,0.975429609968,0.849725469107,0.0,240,
108.0,0.93,0.34439,30.0,-0.1406926855,0.395076519218,0.9733908041,0.83282565255,0.0,240,
114.0,0.93,0.30283,36.0,-0.170111452958,0.402194150532,0.971233875806,0.826171619493,0.0,240,
120.0,0.93,0.2456,18.0,-0.198242330708,0.399185215553,0.964485096278,0.822383260047,0.0,240,
126.0,0.93,0.35812,30.0,-0.0890389895125,0.357262343896,0.971397517854,0.854080922242,0.0,240,
132.0,0.93,0.2835,42.0,-0.176614964417,0.393984656869,0.960464981281,0.826468638216,0.0,240,
138.0,0.93,0.42112,36.0,-0.104370453375,0.395064599826,0.970168090308,0.834554540923,0.0,240,
144.0,0.93,0.16372,30.0,-0.245989174542,0.411665519357,0.954936501468,0.806224506898,0.0,240,
150.0,0.93,0.13258,30.0,-0.27759909075,0.437784754421,0.943957376091,0.7852729801,0.0,240,
