LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,3.25,-0.435324459054,12.0,-0.116825425466,0.266494612931,0.998699929202,0.995841396167,88.9804887566,239,
6.0,3.25,-0.289365014106,6.0,0.0242174882477,0.252372379027,0.998372573263,0.996238892503,88.420544953,240,
12.0,3.25,-0.547094405774,6.0,-0.221880216885,0.346893402191,0.998234792179,0.99286266636,87.7085610172,240,
18.0,3.25,-0.364299477524,6.0,-0.0191480123899,0.277190004349,0.998099440688,0.995408749956,87.2534112372,240,
24.0,3.25,-0.612509415617,12.0,-0.263996800358,0.388959832091,0.997968490132,0.9909621185,86.8329634214,240,
30.0,3.25,-0.232001322069,6.0,0.109319403823,0.308680026657,0.997985957973,0.994276531093,86.6935369412,240,
36.0,3.25,-0.740286103697,6.0,-0.411619738535,0.500792286032,0.998129544111,0.985098177003,86.8518035697,240,
42.0,3.25,1.16689899629,6.0,1.50662620016,1.53184041443,0.99842588755,0.877975913169,87.2413403974,240,
48.0,3.25,1.20769682607,6.0,1.53269928623,1.55734838185,0.998422000877,0.874538571462,87.2785041366,240,
54.0,3.25,1.20730127294,6.0,1.54131768429,1.56631066905,0.998284546381,0.873267455252,87.1536811683,240,
60.0,3.25,-0.407280129024,6.0,-0.069137532419,0.299324371153,0.998192200627,0.994600194478,86.5757003797,240,
66.0,3.25,-0.396886437179,6.0,-0.0602753014364,0.298799200901,0.998080247601,0.994618908011,86.5099571033,240,
72.0,3.25,-0.38972816588,6.0,-0.0588595600507,0.293012049205,0.997999507636,0.994844481273,86.7688802602,240,
78.0,3.25,-0.398763971385,6.0,-0.0583169154052,0.302467148691,0.998095755474,0.994472678621,86.319330801,240,
84.0,3.25,-0.466221142904,6.0,-0.109257743945,0.328181622025,0.998158891547,0.993448229003,85.7353672574,240,
90.0,3.25,-0.463125800109,6.0,-0.0999790907165,0.317383509211,0.997757983693,0.993916454986,86.1149948729,240,
96.0,3.25,-0.583872532935,6.0,-0.236599550301,0.372879349729,0.997581384901,0.99169976017,86.7153481583,240,
102.0,3.25,-0.393500593903,6.0,-0.0416637917463,0.285271795572,0.997510206769,0.995144829635,86.9913577137,240,
108.0,3.25,-0.529033803962,6.0,-0.171209711313,0.340154343971,0.997793563363,0.993047388834,86.4514632138,240,
114.0,3.25,-0.413585634049,6.0,-0.0796219976183,0.281858703745,0.998049450674,0.995272811456,87.5368550382,240,
120.0,3.25,-0.515463299723,12.0,-0.215189121603,0.366725916883,0.997903801793,0.991907156533,86.3118758244,240,
126.0,3.25,-0.337635554228,6.0,-0.125906988861,0.315821658257,0.997625401287,0.994023389252,86.6490510531,240,
132.0,3.25,-0.387202329171,6.0,-0.139695818331,0.326657118545,0.997777039525,0.993579956098,86.3890538867,240,
138.0,3.25,-0.298343214229,6.0,-0.0216704986935,0.253803640345,0.997708714015,0.99621560485,88.3436094951,240,
144.0,3.25,-0.382448374999,6.0,-0.100313593218,0.284032862563,0.997956290606,0.995217038714,87.7511901766,240,
150.0,3.25,-0.365937430382,6.0,-0.0756314885041,0.28354075822,0.997781788793,0.995218778161,87.4036880108,240,
