LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,1.402,-0.139652632056,-12.0,-0.0910623660682,0.152691676764,0.990924897973,0.992563873502,86.3802161532,240,
6.0,1.402,-0.10089545548,-12.0,-0.0432962865873,0.130811647319,0.990978766309,0.99450455322,86.2968545886,239,
12.0,1.402,-0.113849902322,-12.0,-0.0513391611899,0.137437691542,0.990348128206,0.993929213043,85.8472419713,239,
18.0,1.402,nan,nan,nan,nan,nan,nan,nan,0,
24.0,1.402,-0.25988128461,0.0,-0.205321454721,0.221495634502,0.996007798391,0.984614061944,90.7659119506,239,
30.0,1.402,-0.27662505237,0.0,-0.227161507673,0.241654762887,0.996088125635,0.981735982141,90.8389282154,239,
36.0,1.402,-0.24779659655,0.0,-0.152398221774,0.181192104125,0.994624682166,0.989509828988,89.1077195425,239,
42.0,1.402,-0.357584705139,0.0,-0.271539050415,0.286862213962,0.995230429014,0.974210261444,89.7196146665,239,
48.0,1.402,-0.387850117276,0.0,-0.295813857933,0.309156031543,0.995403193166,0.970319223836,90.0151360458,239,
54.0,1.402,-0.465986642708,-702.0,-0.3487044369,0.362866934488,0.994495985918,0.959135209123,88.8431617632,239,
60.0,1.402,-0.258857578587,-696.0,-0.14315142329,0.17401688538,0.994549024245,0.990303282147,89.0037839742,239,
66.0,1.402,-0.405202149707,-690.0,-0.306927890375,0.325302313791,0.993530691294,0.966819976786,88.0213890896,239,
72.0,1.402,-0.367750147967,-702.0,-0.294565218301,0.312016289253,0.993987185322,0.969565516454,88.5654888157,239,
78.0,1.402,-0.453163656599,-690.0,-0.379739740775,0.393843443933,0.993745092062,0.952512372835,88.391340622,239,
84.0,1.402,-0.172913241493,-6.0,-0.111011128227,0.149437532909,0.994185616419,0.992877893471,88.8817120098,239,
90.0,1.402,-0.293653679525,-6.0,-0.241773555134,0.260594317063,0.994442283238,0.978762585169,89.1933395076,239,
96.0,1.402,-0.32972458202,-690.0,-0.245454906763,0.270329110903,0.992676364692,0.976849387891,87.411600533,239,
102.0,1.402,-0.400360956487,0.0,-0.296228290683,0.317118809479,0.992600558516,0.968525100762,87.4197361651,239,
108.0,1.402,-0.0832275386538,-690.0,0.0142837256271,0.141182927179,0.98901757685,0.993405040724,84.3783373453,240,
114.0,1.402,-0.268379749549,-702.0,-0.160330327836,0.206294104318,0.990662352801,0.986188234823,85.5892230774,239,
120.0,1.402,-0.235217520187,-690.0,-0.156634763543,0.192644400284,0.992742330132,0.988161122351,87.5501376083,239,
126.0,1.402,-0.385410226596,-696.0,-0.299471775949,0.324050484623,0.991249150047,0.966989821945,86.2572275939,239,
