LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,1.067,-0.00462,-24.0,-0.0431616460251,0.178725869124,0.975543229952,0.984719297175,75.0009046594,239,
6.0,1.067,0.15564,-24.0,0.0469305078333,0.196299200951,0.974763995721,0.982217518088,72.47341427,240,
12.0,1.067,0.12022,-24.0,0.0126010163333,0.176239478869,0.978954707929,0.985587561255,74.6134019469,240,
18.0,1.067,0.10257,-24.0,0.0156105030833,0.176471121082,0.977999612762,0.98544732633,74.6147162375,240,
24.0,1.067,0.03772,-24.0,-0.0435777801667,0.183400206328,0.97739800879,0.984308221331,74.2726809279,240,
30.0,1.067,0.08513,-24.0,0.00123601020833,0.175683127105,0.977799509417,0.985548173673,74.6292356813,240,
36.0,1.067,0.471612394,-30.0,0.390712648649,0.427964637084,0.978112096519,0.920944575296,74.7799846492,240,
42.0,1.067,0.465383543,-30.0,0.388171594975,0.425899184661,0.978036787112,0.921688051398,74.6910073531,240,
48.0,1.067,0.00339,-24.0,-0.0775266952917,0.191423741693,0.977877804759,0.982875574925,74.724101397,240,
54.0,1.067,-0.00074,-24.0,-0.093218953625,0.197128992019,0.978415236946,0.981882227719,74.9156773817,240,
60.0,1.067,-0.02124,-24.0,-0.0964774923333,0.201776022438,0.976874395582,0.980956715281,74.4071774253,240,
66.0,1.067,-0.0163,-24.0,-0.0899943149167,0.196976014111,0.977422250925,0.981829580323,74.6960984068,240,
72.0,1.067,-0.02099,-30.0,-0.0976086585,0.198285667175,0.977947700444,0.981559854702,75.0742797548,240,
78.0,1.067,-0.01908,-24.0,-0.0961457214167,0.19779343956,0.978195788158,0.98169610516,75.0372867301,240,
84.0,1.067,-0.04154,-24.0,-0.121157221917,0.206236833161,0.979569389846,0.980089872846,75.897483475,240,
90.0,1.067,-0.01513,-24.0,-0.10350550975,0.195361158945,0.980358927054,0.982160755632,76.0720262724,240,
96.0,1.067,-0.00374,-24.0,-0.0943764009542,0.191265058847,0.980075175997,0.982874297569,75.9751138476,240,
102.0,1.067,-0.00168,-24.0,-0.07762771375,0.184956752604,0.979680957657,0.983967322918,75.7558265748,240,
108.0,1.067,0.00493,-18.0,-0.0703582421667,0.182527226596,0.979360067296,0.984357725941,75.6772555072,240,
114.0,1.067,0.01491,-30.0,-0.0575513254583,0.179164270566,0.978937698416,0.984910267588,75.4970944766,240,
120.0,1.067,0.05979,-30.0,-0.0259426033333,0.171990846658,0.978670918732,0.986057805701,75.4460135182,240,
126.0,1.067,0.0723,-24.0,-0.017796152875,0.171194501083,0.97940970224,0.986274244359,75.4107800446,240,
132.0,1.067,0.07752,-24.0,-0.0121861092938,0.170513784517,0.979408614908,0.986375958274,75.4381083477,240,
138.0,1.067,0.11174,-24.0,0.0109725324167,0.169973151371,0.979728058445,0.98648305725,75.5044176978,240,
144.0,1.067,0.1119,-24.0,0.0119055504042,0.166718792879,0.981065590636,0.98703236663,75.9846664868,240,
150.0,1.067,0.15443,-24.0,0.0451101112083,0.175228805141,0.979898119692,0.985661150213,75.5471379033,240,
