LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,1.742,-0.11570421303,0.0,0.0418783055041,0.160082575727,0.996192324274,0.994756280846,86.7548669314,239,
6.0,1.742,-0.0731672693362,0.0,0.089077054432,0.181566008448,0.995685325503,0.993233752898,86.409417936,240,
12.0,1.742,-0.238475146964,-6.0,-0.0893779872977,0.176551898896,0.996016345616,0.993630486318,86.9210911164,240,
18.0,1.742,-0.186139255661,-12.0,-0.0438251140472,0.168487218203,0.995631516199,0.994136965615,86.0250742048,240,
24.0,1.742,-0.295808566589,-12.0,-0.157969224886,0.225536546378,0.995589766872,0.989575096493,86.1723309417,240,
30.0,1.742,-0.238887227733,-12.0,-0.0928737858543,0.191746984996,0.99513086235,0.99240333707,85.5898911305,240,
36.0,1.742,-0.394669447056,-12.0,-0.223391002953,0.281317201839,0.995352585908,0.983708823551,85.3123480886,240,
42.0,1.742,-0.286575438296,-12.0,-0.120199267457,0.203916507899,0.995619146802,0.991416239615,85.8501378018,240,
48.0,1.742,-0.414468237731,-12.0,-0.239168689122,0.289357541784,0.995441129204,0.982946473211,86.0095533259,240,
54.0,1.742,-0.273328715853,-12.0,-0.0859495261188,0.183418930945,0.995624509992,0.99306630879,86.0811870071,240,
60.0,1.742,-0.300523451338,-12.0,-0.110008906472,0.20281129947,0.996036144204,0.991419328452,85.3640249723,240,
66.0,1.742,-0.151748230431,-12.0,0.044389344607,0.178525093309,0.996025931385,0.993316208557,85.1462523507,240,
72.0,1.742,-0.277869297498,-6.0,-0.11270731576,0.202374074895,0.994739932584,0.991570675077,85.5615096524,240,
78.0,1.742,-0.0404605506989,-6.0,0.107398571641,0.201285196805,0.994860417267,0.991625434288,85.3764291233,240,
84.0,1.742,-0.292302650646,-6.0,-0.129301402877,0.220315343132,0.994111055988,0.98994007369,84.6769667144,240,
90.0,1.742,-0.141273126862,-6.0,-0.0101215850838,0.165049952709,0.994943133588,0.994390860884,85.8488440425,240,
96.0,1.742,-0.354576239755,-12.0,-0.184849958283,0.253985961654,0.996148173723,0.98654319221,85.0377160352,240,
102.0,1.742,-0.104177612491,-18.0,0.0267770798946,0.162598973923,0.995713521671,0.994549384887,86.2233985094,240,
108.0,1.742,-0.251856314381,-12.0,-0.0914857383404,0.196820546733,0.995637471197,0.991900805964,85.0304866013,240,
114.0,1.742,-0.152853897528,-12.0,0.0249212183166,0.181725867489,0.995252524791,0.993054831908,84.5371770364,240,
120.0,1.742,-0.293877220054,-12.0,-0.119848222304,0.214264064095,0.995996156639,0.990352799511,84.7432042754,240,
126.0,1.742,-0.0969006819467,-6.0,0.0674217321594,0.187674802299,0.995606176472,0.992621877871,84.9549013645,240,
