LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,1.489,0.22051,-12.0,0.00528326525941,0.150874715877,0.982419103438,0.990807160554,80.5729984298,239,
6.0,1.489,0.1317,-18.0,0.0102763263333,0.150964885748,0.981458378928,0.990551596283,80.5540718967,240,
12.0,1.489,-0.0686,-18.0,-0.0588830940833,0.126814372474,0.989805630161,0.993017153104,85.4989603353,240,
18.0,1.489,-0.02544,-12.0,-0.0461500121667,0.125843537178,0.98864802637,0.993182072526,84.8842794191,240,
24.0,1.489,-0.03751,-18.0,-0.0493645578333,0.117636381814,0.990590522961,0.99405996064,86.2138986296,240,
30.0,1.489,-0.04002,-18.0,-0.0569238695833,0.121854547602,0.99043332548,0.993620813927,86.0894670213,240,
36.0,1.489,-0.05575,-12.0,-0.0795787589208,0.136825695016,0.989717175945,0.991990839818,85.6295463361,240,
42.0,1.489,-0.04502,-18.0,-0.072222891,0.134732205402,0.989236822984,0.992235469304,85.3150765176,240,
48.0,1.489,-0.03829,-18.0,-0.073679812,0.141128015747,0.987915298482,0.991474722046,84.4592668566,240,
54.0,1.489,-0.03525,-18.0,-0.0668179354167,0.134952341658,0.988618114068,0.99216576937,84.8618400293,240,
60.0,1.489,-0.02735,-18.0,-0.0568733667125,0.133400430589,0.987889771108,0.992353001272,84.420329243,240,
66.0,1.489,-0.04161,-18.0,-0.0783887775,0.146616299879,0.987284058705,0.990732144241,84.0030489185,240,
72.0,1.489,-0.0399,-18.0,-0.0188470454167,0.105700990124,0.991191987278,0.995176273379,86.5715937284,240,
78.0,1.489,-0.03837,-18.0,-0.000381661208333,0.128008635987,0.986521060048,0.992867747838,83.472826097,240,
84.0,1.489,-0.03432,-12.0,-0.04027931795,0.124700620754,0.988346645689,0.993366665895,84.7628812847,240,
90.0,1.489,-0.04474,-18.0,-0.045591398125,0.128217740878,0.988227974267,0.992869990102,84.5276305662,240,
96.0,1.489,-0.05342,-18.0,-0.0722998490417,0.134289443102,0.989439847028,0.992241904357,85.3891811158,240,
102.0,1.489,-0.03053,-18.0,-0.062980001875,0.134852821191,0.988093016575,0.992258378067,84.6045363732,240,
108.0,1.489,-0.03081,-18.0,-0.078369853625,0.146053136656,0.987281096309,0.990906504394,84.0876018158,240,
114.0,1.489,-0.07422,-12.0,-0.145416758333,0.193007570958,0.98648540578,0.984301140448,83.6147298556,240,
120.0,1.489,-0.07782,-18.0,-0.135669605429,0.188912013771,0.985499100626,0.984875281709,83.027255857,240,
126.0,1.489,-0.04444,-18.0,-0.109530483458,0.171773972684,0.985304105763,0.987461943846,82.9157259905,240,
132.0,1.489,-0.06641,-18.0,-0.132006428667,0.187473777521,0.985151208133,0.985031090202,82.8129262864,240,
138.0,1.489,-0.04619,-18.0,-0.0875879831667,0.159519406574,0.98511859016,0.989095561121,82.7867272218,240,
144.0,1.489,-0.01935,-18.0,-0.0537407570833,0.134011421594,0.98747603405,0.992267675151,84.1498937056,240,
150.0,1.489,-0.00294,-18.0,-0.0181761648333,0.132187284365,0.985939848853,0.992369422757,83.0953570553,240,
