LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,0.965,-0.284923434386,-36.0,-0.332470248,0.341420382399,0.977928513287,0.819551038297,77.9902390027,239,
6.0,0.965,-0.278308408515,-36.0,-0.328004905021,0.337441528265,0.977085935079,0.822905802897,77.5364095725,240,
12.0,0.965,-0.282846459118,-36.0,-0.33040597733,0.3397913998,0.976950844097,0.820800884232,77.5176042453,240,
18.0,0.965,-0.290272326719,-36.0,-0.331471865461,0.339943079947,0.978841041345,0.820046120826,78.6212329895,240,
24.0,0.965,-0.29748136195,-30.0,-0.337798803053,0.346011362012,0.979132564281,0.815128916145,78.7567314362,240,
30.0,0.965,-0.301063052949,-30.0,-0.343512874278,0.351449171089,0.979519666433,0.810861806899,78.9474936317,240,
36.0,0.965,-0.306925614797,-30.0,-0.357413257342,0.36495597477,0.980304651831,0.800973554135,79.0753668767,240,
42.0,0.965,-0.315797321982,-30.0,-0.368726513651,0.376601815437,0.979292367441,0.792464639864,78.2819049199,240,
48.0,0.965,-0.308488538556,-30.0,-0.368591419218,0.37677426697,0.978651263824,0.792753190814,77.8613442867,240,
54.0,0.965,-0.32364844859,-24.0,-0.374451401401,0.382482097205,0.978655764359,0.787781543757,77.8986010639,240,
60.0,0.965,-0.300363088146,-24.0,-0.362900481841,0.371162857832,0.979201725744,0.797729736588,77.9233304043,240,
66.0,0.965,-0.294609239454,-24.0,-0.339153352608,0.34733088756,0.979518947864,0.814606841616,78.760670452,240,
72.0,0.965,-0.29971713634,-24.0,-0.327611247306,0.335811612036,0.979212435024,0.822053849409,79.091344185,240,
78.0,0.965,-0.280637872483,-24.0,-0.329340745472,0.337841021761,0.979266937255,0.822648870308,78.652210151,240,
84.0,0.965,-0.283763788344,-30.0,-0.310988270093,0.319259450801,0.980718870014,0.837218508899,79.5330226097,240,
90.0,0.965,-0.280896139783,-24.0,-0.313958399088,0.322669090421,0.979393343993,0.834473378404,78.890238859,240,
96.0,0.965,-0.26023517379,-24.0,-0.304312253222,0.313109006941,0.980852498079,0.844045917128,79.1086589127,240,
102.0,0.965,-0.269336167678,-30.0,-0.309562343342,0.318053505458,0.980937152062,0.839488577334,79.3059816175,240,
108.0,0.965,-0.165292642869,-18.0,-0.225517078788,0.240362053863,0.974929214537,0.90000395284,76.4255983436,240,
114.0,0.965,-0.238032156892,-24.0,-0.243385265324,0.255208868191,0.977342937119,0.886531616708,78.2347924737,240,
120.0,0.965,-0.208244104819,-18.0,-0.26871780878,0.282342395598,0.972797375528,0.867740035428,75.4373337061,240,
126.0,0.965,-0.1773625119,-12.0,-0.245115392231,0.256799365118,0.978490178418,0.88717597098,78.2917624189,240,
132.0,0.965,-0.213642894109,-24.0,-0.264242598363,0.275202988877,0.979199413665,0.874186750213,78.2027778854,240,
138.0,0.965,-0.227011598975,-24.0,-0.283081246582,0.293594268125,0.978243510672,0.859246815862,77.92789028,240,
144.0,0.965,-0.280680557106,-24.0,-0.320601131958,0.330272947096,0.976997536947,0.828830077315,77.5085841823,240,
150.0,0.965,-0.220252585294,-18.0,-0.288472253103,0.299170875535,0.977962431379,0.855710220118,77.5231692785,240,
