LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,0.563,-0.00634805022222,6.0,0.0422305052321,0.0627807515775,0.971411708208,0.949265880443,70.0018261986,239,
6.0,0.563,0.00501271941479,6.0,0.0545512676491,0.0691733742146,0.977144107949,0.940701987524,72.5473423994,240,
12.0,0.563,-0.0302542229007,30.0,0.020522689877,0.0431406097632,0.984732096007,0.976368330017,75.5081144573,240,
18.0,0.563,0.0020701127153,18.0,0.0369177992784,0.0483793360718,0.990819388398,0.971642517174,79.8191261433,240,
24.0,0.563,-0.0347224042028,18.0,0.0169989988282,0.0438443224646,0.981414952142,0.975323162824,73.9149245665,240,
30.0,0.563,-0.0105596521917,12.0,0.0290230395108,0.0570181824578,0.966848640208,0.957247972386,68.3228611729,240,
36.0,0.563,-0.0282535907384,24.0,-0.00919520713143,0.0399896939414,0.98104726833,0.979780245836,74.8809213939,240,
42.0,0.563,-0.0212012915653,6.0,0.00967223377297,0.0395358603845,0.983164491125,0.980135058659,75.2576546536,240,
48.0,0.563,-0.0582183716852,24.0,-0.00766169409102,0.0363047568864,0.990985500924,0.983104033157,77.0954506661,240,
54.0,0.563,-0.0576000644691,732.0,-0.00396999219629,0.05500525018,0.96178667819,0.957579208421,64.5903737456,240,
60.0,0.563,-0.125835798244,0.0,-0.0937397724487,0.104522093206,0.976105903109,0.873063971299,70.1580611347,240,
66.0,0.563,-0.10760499953,18.0,-0.0577207829316,0.0702333922133,0.980146614231,0.940268910458,74.1742768629,240,
72.0,0.563,-0.127359134866,12.0,-0.0823576657069,0.0942931381326,0.972001073145,0.895291243097,70.3633620793,240,
78.0,0.563,-0.105970034358,720.0,-0.0666411313145,0.0768541623087,0.981316010197,0.930455532736,75.2914379376,240,
84.0,0.563,-0.120987973843,24.0,-0.0781481983313,0.0908170633081,0.970756456247,0.902047536378,70.1380004404,240,
90.0,0.563,-0.14289051425,30.0,-0.0899439733712,0.106115338535,0.954978975147,0.863339183952,63.6571988847,240,
96.0,0.563,-0.171886108106,738.0,-0.117827607652,0.128500185533,0.969804585282,0.817628061131,66.9065006268,240,
102.0,0.563,-0.148993175386,720.0,-0.10372091523,0.110073024811,0.984093508156,0.869131907772,76.2147344383,240,
108.0,0.563,-0.0564660285153,732.0,-0.00716361449118,0.0676865133054,0.926887511165,0.932770302555,56.5582360014,240,
114.0,0.563,-0.0559392408423,18.0,-0.0095876834459,0.0463566592659,0.972051754291,0.972013481533,70.7268018327,240,
120.0,0.563,-0.0361604540982,18.0,-0.0106890450186,0.0261447624025,0.989775542772,0.992343420375,84.6000536137,240,
126.0,0.563,-0.0589517861055,12.0,-0.0460854195619,0.0571984867575,0.983984837998,0.961429759464,78.1332310497,240,
