Date,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150
2020-08-27,0.427716575841,0.423198189642,0.284787961977,0.239401723994,0.248852756057,0.277760085394,,,,,,,,,,,,,,,,,,,,
2020-08-28,0.173691241654,0.178075228371,0.214291415787,0.213409632813,0.211495981994,0.210590482756,0.141053036285,0.138228102405,0.143334862226,0.146869946799,,,,,,,,,,,,,,,,
2020-08-29,-0.0447776157514,-0.0450925199561,-0.0367955640536,-0.0356486344358,-0.0344604422946,-0.0363529436682,-0.0265994655384,-0.0259305828354,-0.0249619015985,-0.0251337031231,-0.0229980138778,-0.0201712147258,-0.0208264897499,-0.0213345649338,,,,,,,,,,,,
2020-08-30,-0.035375666467,-0.0365454962998,,-0.0406698007677,-0.0407828971437,-0.0416916900108,-0.0365624411527,-0.0361013928899,-0.035532045411,-0.0354305136423,-0.0273525246812,-0.0258258326297,-0.0260520628511,-0.0275706092573,-0.0253704980811,-0.0274999787899,-0.0293565855396,-0.0303844990865,,,,,,,,
2020-08-31,-0.0318166683612,-0.0326384921058,-0.0473224960064,-0.0469134243132,-0.0460670610071,-0.0487436291517,,,,,,,,,,,,,,,,,,,,
2020-09-01,-0.00898038535289,-0.00868748651442,-0.0256540116392,-0.0248240077724,-0.0237994691704,-0.0255827803204,,,,,,,,,,,,,,,,,,,,
2020-09-02,0.038320762741,0.0330982716456,0.0381093671842,0.0387553892034,0.0113692943743,0.0404112972589,0.0321116124871,0.031965617483,0.064433238392,0.0340820195069,,,,,,,,,,,,,,,,
2020-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-18,-0.0811708541104,-0.0806243580028,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-19,-0.0313597905378,-0.030246760782,-0.0960707140188,,-0.0960238215473,-0.095611720222,,,,,,,,,,,,,,,,,,,,
2020-09-20,0.250221020937,0.255357581991,0.241935033403,0.265727753025,0.264968459718,0.26009124047,0.285091038195,,0.272362093322,0.284897101456,,,,,,,,,,,,,,,,
2020-09-21,,,-0.0283412624051,-0.0328387743483,-0.028403871046,-0.0285336557885,-0.11488485404,-0.108575361325,-0.0918947929033,-0.0958437467436,-0.148841871895,,-0.148682668157,-0.158715951629,,,,,,,,,,,,
2020-09-24,0.198769176121,0.198447809149,,0.242204107792,0.242168306153,0.247817472836,,,,,,,,,,,,,,,,,,,,
2020-09-25,0.0348260892481,0.0360461154971,,0.00676858713309,0.00848011516645,0.00882232648676,,-0.0256386662762,-0.0260637269808,-0.0269867768063,,,,,,,,,,,,,,,,
2020-09-26,0.134446311995,0.144626584168,,0.211131551492,0.199704760292,0.197791855612,,0.242688913486,0.237809569986,0.240856151321,,0.278193211134,0.260835230562,0.249996185853,,,,,,,,,,,,
2020-09-27,-0.0321934947779,-0.0317608531723,,-0.0235679853584,-0.0226638166806,-0.0220033358734,,-0.0140921094981,-0.0150768075219,-0.0165253382844,,-0.00977370076626,-0.010165202718,-0.00816057812599,,0.0113101084806,0.00730772062266,0.00949311287167,,,,,,,,
2020-09-28,-0.0318034620478,-0.0296347980587,,-0.0460164454682,-0.0463309903952,-0.0471503492591,,0.00108474727384,0.000756875008881,0.00142780308325,,0.0698792936029,0.0692265400481,0.0701709679888,,0.0359882556096,0.0373323251362,0.0411987611147,,0.00131473502936,0.00211287049126,0.00816414037145,,,,
2020-09-29,-0.023379744957,-0.0234597638331,,,-0.0405567934997,-0.0407536335409,,-0.0560765274933,-0.0575071402312,-0.0571949631382,,-0.0113495652634,-0.0106211139637,-0.00932725031034,,0.0610630634087,0.0668973953035,0.0663671005515,,0.0396813866432,0.041059680733,0.0420250173656,,0.00278825399592,-0.00233172837941,-0.0021977473724
2020-09-30,-0.0132841327538,-0.0116572122822,,-0.0168924885345,-0.0172975641791,-0.0176274034188,,,-0.0372199862815,-0.035128046061,,-0.0526510166581,-0.0531962094534,-0.0462414367514,,0.00515238905928,0.00211639257889,0.00242722628242,,0.0753246983754,0.0809304083083,0.0784489669031,,0.0407317604542,0.0364531086066,0.0345260401863
2020-10-01,-0.00422153585058,-0.00194211131707,,0.00697196351198,0.00859520445587,0.00945542346934,,-0.00328755152296,-0.00736203858456,-0.00800300448682,,,-0.0296825926377,-0.0240265349274,,-0.0380486010515,-0.0387281573991,-0.0347809671469,,0.0088120198635,0.0018186483548,-0.00410776199627,,0.0570335178509,0.062929265785,0.0645343808175
2020-10-02,-0.130356998582,-0.130917497609,,-0.110429608373,-0.106542423586,-0.108018768734,,,,,,,,,,,,,,,,,,,,
2020-10-03,0.00277587510028,0.00517389495343,,-0.0161729958394,-0.01647644661,-0.0171413061181,,-0.00254222644073,-0.00323107350865,-0.0057760586706,,,,,,,,,,,,,,,,
2020-10-04,-0.00244878949875,-0.0016441392843,,0.0161461115634,0.0177334645618,0.0159421994799,,-0.00694059258468,-0.00289604760924,-0.00332271528317,,0.0113814220118,0.00882927666011,0.00840224535949,,,,,,,,,,,,
2020-10-05,-0.0198891039431,-0.0204788446484,,0.00880399608983,0.00833003698376,0.00816097650008,,0.0253455080185,0.0257987924567,0.0299083399031,,0.0080641029135,0.00685772777939,0.00617566141553,,0.014817159274,0.0140342347351,0.0119167511296,,,,,,,,
2020-10-06,,,,-0.174587950789,-0.0895459375732,-0.090238638936,,-0.0571515306795,-0.058478960354,-0.0529488103247,,-0.0324693490558,-0.0357615686921,-0.0383533927126,,-0.0460392889023,-0.0559892478075,-0.048903257349,,0.0434024040039,0.0203755291868,0.00517950945819,,,,
2020-10-07,-0.0359869206036,-0.0169411567065,,-0.010466275564,-0.0161915779533,,,0.0029373324919,0.00776142414781,0.00814456173126,,0.0356037530307,0.0359690547407,0.0331859077844,,0.0443844741703,0.0474239243831,0.0491379636555,,0.0286458589008,0.0312338770319,0.0288990412035,,0.0377853467067,0.0378906610228,0.0402415511265
2020-10-08,0.0152812673352,-0.0140155643839,,-0.0104486284174,0.0718648130336,-0.0040287337331,,,,,,,,,,,,,,,,,,,,
2020-10-09,0.128039780509,0.0922905010555,,0.138440127496,0.221060467548,0.173273659136,,0.24967973124,0.203560458325,0.190646899763,,,,,,,,,,,,,,,,
2020-10-10,-0.0238197922705,-0.0158742534609,,-0.030782308107,-0.0221119740314,-0.00309013933096,,-0.0111816119696,-0.00873965466867,0.00960970703548,,-0.000785571633071,-0.00659854792322,0.0141840241415,,,,,,,,,,,,
2020-10-11,-0.0118108841434,-0.000460641127638,,-0.0315461859855,-0.0224944256929,-0.0171998465006,,-0.0390582419807,-0.0298527212424,-0.0111673263094,,-0.0203059488704,-0.0163829622982,0.00478091101077,,-0.00978638208675,-0.0122044412312,0.00482122232152,,,,,,,,
2020-10-12,-0.197592659192,-0.238084842814,,-0.158973432233,-0.105769135907,-0.143979426725,,-0.263187624161,-0.24454995697,-0.306608944818,,-0.338881277291,-0.34030639361,-0.365156675249,,-0.205647980757,-0.092347588374,-0.0163206948321,,-0.0365269915171,0.0278481567442,0.0174863682581,,,,
2020-10-13,-0.0191185668389,-0.012328218622,,-0.0305515497658,-0.0169930096135,-0.0071617999526,,-0.0382645584065,-0.028887524816,-0.018857481992,,-0.0539186269533,-0.043004812483,-0.0337980040679,,-0.0536954542446,-0.0395429753549,-0.0193252387973,,-0.0276224636204,-0.0190515904823,-0.00164696794614,,-0.0109398604163,-0.0134237454989,0.00211640089334
2020-10-14,-0.0218728965964,-0.0219259809114,,,-0.0304691177994,-0.0233895260864,,-0.0452645426748,-0.0340943958351,-0.0251675925252,,-0.0485436479406,-0.0411460136202,-0.0309374415462,,-0.0653173915873,-0.0598657253274,-0.0517792785222,,-0.0720068957987,-0.058512750847,-0.0404090694623,,-0.0504580150007,-0.0487211751598,-0.0323375175469
2020-10-15,-0.00849254150723,0.144057682056,,0.0834428277932,-0.038497051743,0.139967623521,,,-0.182294394698,-0.00930252493325,,-0.124769152272,-0.243808232973,-0.116112309637,,-0.169280931988,-0.239185255755,-0.148521529482,,-0.241827856096,-0.28762453043,-0.282697223052,,-0.327557792121,-0.262149654016,-0.293863980621
2020-11-24,0.0165155076489,0.0219323416696,0.0268849950077,0.0215396685762,0.026490180923,0.0338782542047,,,,,,,,,,,,,,,,,,,,
2020-11-25,0.011563434873,0.0113891131008,0.018580767422,0.0145976189522,0.0145362310843,0.0192186593972,0.0224853866566,0.0149973878508,0.0185131282985,0.0253358905618,,,,,,,,,,,,,,,,
