Date,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150
2020-08-27,0.623403453742,0.628505053268,0.744430223329,0.781111117967,0.750667495413,0.731163338422,,,,,,,,,,,,,,,,,,,,
2020-08-28,0.806252421308,0.804168836347,0.750250295198,0.75677258671,0.759358686915,0.760608257493,0.871766396387,0.873773973763,0.868423807229,0.864574958024,,,,,,,,,,,,,,,,
2020-08-29,0.944516680171,0.943935066133,0.959064059853,0.961097654798,0.963210138384,0.96133351317,0.97352758853,0.975908706828,0.977681676614,0.977553186323,0.980119044703,0.982452097043,0.981403980319,0.981183677621,,,,,,,,,,,,
2020-08-30,0.95394751673,0.952324318581,,0.945109335146,0.944659600185,0.943635252885,0.9540006641,0.955121292489,0.957397454707,0.957728749698,0.96977559141,0.971283876993,0.971786287348,0.969613076991,0.971352085507,0.968844244447,0.964170885096,0.964087374297,,,,,,,,
2020-08-31,0.953829023355,0.952800245145,0.922051076786,0.922627467873,0.922923675599,0.914818988393,,,,,,,,,,,,,,,,,,,,
2020-09-01,0.966373242029,0.967962199318,0.949918241643,0.951230665844,0.950430074611,0.945027585193,,,,,,,,,,,,,,,,,,,,
2020-09-02,0.898501226282,0.900714638807,0.913222247055,0.912584141992,0.874057930334,0.901891920834,0.872034493275,0.875517862959,0.871623172745,0.88561872586,,,,,,,,,,,,,,,,
2020-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-18,0.317787986997,0.321934518821,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-19,0.434394391981,0.445531737,0.36266425136,,0.365366443856,0.370325507106,,,,,,,,,,,,,,,,,,,,
2020-09-20,0.872877914282,0.871366566402,0.891916260454,0.884009142758,0.891806015633,0.888608292354,0.89122373284,,0.893999143286,0.894340431009,,,,,,,,,,,,,,,,
2020-09-21,,,0.993822723424,0.993599118,0.993846957238,0.994041885854,0.993631250239,0.993533656413,0.9937396675,0.993598553978,0.993185284507,,0.993000557067,0.993086284546,,,,,,,,,,,,
2020-09-24,0.843939960462,0.844931485667,,0.84577725149,0.845132424716,0.845205942352,,,,,,,,,,,,,,,,,,,,
2020-09-25,0.822608289709,0.83713338107,,0.897276520854,0.89835231863,0.902001893408,,0.88431756181,0.883944305474,0.88263947321,,,,,,,,,,,,,,,,
2020-09-26,0.863482682487,0.861797690432,,0.879479265118,0.88314023369,0.880090967722,,0.880443284007,0.886152140255,0.885476721566,,0.884489461889,0.891302665005,0.892150893914,,,,,,,,,,,,
2020-09-27,0.95906441212,0.96258436625,,0.975879379386,0.977714968375,0.979032487368,,0.984177049024,0.983784262023,0.982955498654,,0.986142724189,0.986969822539,0.987228568994,,0.986558559849,0.988963640797,0.987366910889,,,,,,,,
2020-09-28,0.871804588763,0.890540687658,,0.84023918542,0.841404325726,0.841145210848,,0.956855742151,0.957870201134,0.957782153976,,0.752590966619,0.754105967194,0.744616883556,,0.881161691724,0.871104610911,0.854902365095,,0.947651748316,0.947002552465,0.942884306281,,,,
