Date,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150
2020-08-27,0.427370242617,0.422015631351,0.293819408346,0.247853676286,0.257318727357,0.278787360003,,,,,,,,,,,,,,,,,,,,
2020-08-28,0.185598052708,0.186563305044,0.218124593524,0.216496917689,0.214597535193,0.213470197354,0.14492407638,0.142338449429,0.147300663849,0.150775267101,,,,,,,,,,,,,,,,
2020-08-29,0.0512368944133,0.0513199072118,0.0430031107715,0.0421063813519,0.0412331636208,0.0422112593137,0.0350246634085,0.0332741398695,0.0317559145919,0.0319023014796,0.0298658932142,0.0279765140617,0.029043107492,0.0290039890974,,,,,,,,,,,,
2020-08-30,0.0428728210743,0.043685021453,,0.0466432772148,0.0469755586707,0.04761464129,0.0427699450723,0.0424874414856,0.0413261815357,0.0409752117661,0.0346138589458,0.0337162222519,0.0332879055949,0.0346076000451,0.0335280149017,0.0348410777369,0.0379482379925,0.037850104699,,,,,,,,
2020-08-31,0.0391339524642,0.0396492488045,0.0516438002044,0.051683725972,0.0511773761365,0.0542780069908,,,,,,,,,,,,,,,,,,,,
2020-09-01,0.0289399965276,0.0281808959586,0.0355140257504,0.0347883169831,0.0349172119394,0.0371534955693,,,,,,,,,,,,,,,,,,,,
2020-09-02,0.0773178964738,0.0773826287017,0.0735151996542,0.0738393783825,0.0840298970547,0.0776615615999,0.0861280386507,0.0850406371475,0.0913538715972,0.0823714905243,,,,,,,,,,,,,,,,
2020-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-18,0.107149133204,0.106096485316,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-19,0.0745214214199,0.0719246436563,0.113250650719,,0.113266771199,0.112329905243,,,,,,,,,,,,,,,,,,,,
2020-09-20,0.606778303137,0.605774241767,0.565234375331,0.579739368611,0.564677449708,0.566219755405,0.567229075706,,0.560466440096,0.559740561572,,,,,,,,,,,,,,,,
2020-09-21,,,0.34077244031,0.346457362931,0.340150131916,0.334745155358,0.346506858062,0.348686711518,0.342994357084,0.346535044164,0.357529414457,,0.362131327251,0.360195652166,,,,,,,,,,,,
2020-09-24,0.602883258441,0.599784462493,,0.610208486246,0.612737091222,0.608783961623,,,,,,,,,,,,,,,,,,,,
2020-09-25,0.077993252365,0.073351732251,,0.0572341160183,0.0564947374945,0.054954364869,,0.0608094218449,0.0612197778429,0.0614301812973,,,,,,,,,,,,,,,,
2020-09-26,0.545535588184,0.54763929685,,0.525650761793,0.523330260894,0.523004383111,,0.532768177231,0.52459161581,0.52130701235,,0.536066652426,0.517093082485,0.513365541721,,,,,,,,,,,,
2020-09-27,0.0533389520971,0.0505206071249,,0.0402185913106,0.0386517279654,0.0373405396974,,0.0322179141485,0.0326727375078,0.0334380799902,,0.0301744478546,0.0293847736872,0.0291515655697,,0.0299046036135,0.0270340382019,0.029142361484,,,,,,,,
2020-09-28,0.0479203895268,0.0432120517554,,0.0544152169081,0.0550771468137,0.0553240561992,,0.0268608377655,0.0264372085048,0.0259986400727,,0.0747918308714,0.0742356974326,0.0754653734849,,0.0456759206883,0.0472884050449,0.0509246437132,,0.0292207461863,0.0293327516175,0.0301160530912,,,,
2020-09-29,0.052387498781,0.0466299496406,,,0.0551751663762,0.0549378157801,,0.0674695045642,0.0683849233785,0.0677311504783,,0.0383057309633,0.0370528749841,0.0356335193764,,0.0713685945661,0.0761348277749,0.0759630203615,,0.0534745838501,0.0540401963676,0.0559775150698,,0.0367747451966,0.0365285222707,0.0370086184568
2020-09-30,0.0487468656055,0.040051711752,,0.032270826679,0.0330950964254,0.0336770413765,,,0.0471653788843,0.0468317027696,,0.0598362692295,0.0599695655895,0.0534890985322,,0.0259220015499,0.0270609587678,0.0255746127027,,0.0802341554412,0.0852812513206,0.0829189310134,,0.0497073455487,0.0465511059169,0.0443913913877
2020-10-01,0.0476164498838,0.0398993054908,,0.0326786142637,0.0333442930723,0.0338607815893,,0.035304161731,0.0365498037651,0.037319754925,,,0.0446796295206,0.0397477387197,,0.0500735689844,0.0501383079742,0.0469760425087,,0.0348864911072,0.0339429635214,0.0349196798968,,0.0681615567532,0.0729170628859,0.0746908397664
2020-10-02,0.134267487477,0.133131050467,,0.111862491792,0.108257219334,0.109665451282,,,,,,,,,,,,,,,,,,,,
2020-10-03,0.038742448215,0.0343344892601,,0.0320311598266,0.0327260008039,0.031969175504,,0.0291500341754,0.0298511766232,0.0302652988659,,,,,,,,,,,,,,,,
