LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,2.787,0.00039,0.0,-0.111636331297,0.176227365557,0.997922787007,0.998233871275,93.469254401,239,
6.0,2.787,0.12833,18.0,0.0498486804167,0.192087644347,0.996248545649,0.997837568572,91.1299733021,240,
12.0,2.787,0.03797,18.0,0.015244300875,0.174166484018,0.996786478267,0.998219638945,91.7041725474,240,
18.0,2.787,0.06489,18.0,0.0256451566667,0.176274067584,0.996732715341,0.998177738784,91.6611127854,240,
24.0,2.787,0.03404,18.0,0.00530666333333,0.169268085187,0.997002412748,0.99831540927,91.9104074525,240,
30.0,2.787,0.02999,18.0,-0.00099540875,0.177590497663,0.996710118834,0.998141665233,91.5086254178,240,
36.0,2.787,0.01728,18.0,-0.0104140495833,0.178952428411,0.996687046344,0.998111497084,91.4578724027,240,
42.0,2.787,0.01979,18.0,-0.004114505,0.179988227535,0.996608596212,0.998091240049,91.3960932933,240,
48.0,2.787,0.02179,18.0,-0.0181288697792,0.182052912119,0.996497125746,0.998051992516,91.3383885008,240,
54.0,2.787,0.04696,18.0,0.000302099166667,0.184930162552,0.996381321984,0.997985806084,91.1575569928,240,
60.0,2.787,0.02945,18.0,-0.00560961833333,0.165375743801,0.997198893438,0.998389369914,92.0970922005,240,
66.0,2.787,-0.01162,18.0,-0.0263008045833,0.166900404889,0.997299805325,0.998354735357,92.119349618,240,
72.0,2.787,-0.03811,18.0,-0.0461950112083,0.180160747938,0.996908731113,0.998083958795,91.6735909973,240,
78.0,2.787,-0.03115,18.0,-0.0249583695833,0.167803113055,0.997314826963,0.998333637706,92.065723005,240,
84.0,2.787,0.0115,18.0,0.0174197254167,0.162084411568,0.997407248854,0.998450173162,92.2948057296,240,
90.0,2.787,0.01636,18.0,0.00781425479167,0.155060507212,0.997654536645,0.998581073899,92.5951865871,240,
96.0,2.787,0.00532,18.0,0.0283096379167,0.16240670607,0.997492341116,0.99844201657,92.3533943193,240,
102.0,2.787,0.01002,18.0,0.0288020870833,0.17375416934,0.997127185923,0.998211578753,91.8068641192,240,
108.0,2.787,0.03208,18.0,0.04354384125,0.181717870166,0.997049560584,0.99803629516,91.5642830797,240,
114.0,2.787,0.06725,18.0,0.0572934745417,0.197415426973,0.996339738249,0.997693719272,90.9668286414,240,
120.0,2.787,-0.01885,18.0,0.00940570916667,0.182851141464,0.996772258934,0.998012008947,91.268528458,240,
126.0,2.787,0.00961,18.0,0.0466436258333,0.182166796955,0.997037331465,0.998028062427,91.5800448771,240,
132.0,2.787,0.01825,18.0,0.0666107666667,0.211198976603,0.996411167432,0.99731820563,90.4169164523,240,
138.0,2.787,0.06195,18.0,0.06204562625,0.217352744423,0.995710698041,0.997179845842,90.0396932765,240,
144.0,2.787,-0.04603,18.0,-0.0183764683333,0.178961310258,0.996984357657,0.998095101768,91.4881788592,240,
150.0,2.787,0.00128,18.0,0.0591766687083,0.17376447604,0.997656815043,0.998201259369,92.1880868796,240,
